0.25,0.24,0.29,0.25
0.24,0.25,0.06,0.25
1.86,1.86,1.88,1.84
3.63,3.64,3.74,3.57
5.39,5.41,5.58,5.33
7.12,7.17,7.39,7.05
8.8,8.84,9.13,8.74
10.43,10.46,10.84,10.38
11.99,12.05,12.5,11.99
13.56,13.59,14.07,13.57
15.09,15.1,15.64,15.13
16.58,16.57,17.16,16.66
18.05,18.01,18.65,18.18
19.45,19.39,20.1,19.66
20.9,20.8,21.4,21.1
22.1,22,22.8,22.5
23.5,23.4,24.2,23.9
24.9,24.7,25.6,25.4
26.2,26,27,26.8
27.7,27.4,28.4,28.3
29.1,28.8,29,29.5
29.8,28.4,27,28.8
22.5,18.2,19.91,19.85
0,0,0,0
