Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,I/0_1,C17,BI,2,FALSE
L2,I/0_2,C18,BI,2,FALSE
L3,I/0_3,D18,BI,2,FALSE
L4,I/0_4,E16,BI,2,FALSE
L5,I/0_5,E18,BI,2,FALSE
L6,I/0_6,F14,BI,2,FALSE
L7,I/0_7,F16,BI,2,FALSE
L8,I/0_8,F17,BI,2,FALSE
L9,I/0_9,G14,BI,2,FALSE
L10,I/0_10,G15,BI,2,FALSE
L11,I/0_11,G17,BI,2,FALSE
L12,I/0_12,G18,BI,2,FALSE
L13,I/0_13,H16,BI,2,FALSE
L14,I/0_14,H17,BI,2,FALSE
L15,I/0_15,H18,BI,2,FALSE
L16,I/0_16,J18,BI,2,FALSE
L17,VREFB5BN0,E17,IN,2,FALSE
