Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,I/O_1,L16,BI,2,FALSE
L2,I/O_2,G13,BI,2,FALSE
L3,I/O_3,H13,BI,2,FALSE
L4,I/O_4,J13,BI,2,FALSE
L5,I/O_5,J14,BI,2,FALSE
L6,I/O_6,J15,BI,2,FALSE
L7,I/O_7,J16,BI,2,FALSE
L8,I/O_8,K18,BI,2,FALSE
L9,I/O_9,L17,BI,2,FALSE
L10,I/O_CRC_ERROR,K13,BI,2,FALSE
L11,I/O_CvP_CONFDONE,N18,BI,2,FALSE
L12,I/O_DEV_CLRn,K16,BI,2,FALSE
L13,I/O_DEV_OE,K17,BI,2,FALSE
L14,I/O_INIT_DONE,L14,BI,2,FALSE
L15,I/O_Nceo,M18,BI,2,FALSE
L16,I/O_PR_REQUEST,L15,BI,2,FALSE
L17,VREFB5AN0,M17,IN,2,FALSE
