Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,I/O,N8,BI,2,FALSE
L2,I/O_DATA5,V2,BI,2,FALSE
L3,I/O_DATA6,M7,BI,2,FALSE
L4,I/O_DATA7,V3,BI,2,FALSE
L5,I/O_DATA8,N7,BI,2,FALSE
L6,I/O_DATA9,U7,BI,2,FALSE
L7,I/O_DATA10,M10,BI,2,FALSE
L8,I/O_DATA11,T7,BI,2,FALSE
L9,I/O_DATA12,N10,BI,2,FALSE
L10,I/O_DATA13,P4,BI,2,FALSE
L11,I/O_DATA14,M8,BI,2,FALSE
L12,I/O_DATA15,R4,BI,2,FALSE
L13,I/O_PR_DONE,N11,BI,2,FALSE
L14,I/O_PR_ERROR,P11,BI,2,FALSE
L15,I/O_PR_READY,P8,BI,2,FALSE
L16,I/O_CLKUSR,M9,BI,2,FALSE
L17,VREFB3AN0,V5,IN,2,FALSE
