Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,I/O_1,D1,BI,2,FALSE
L2,I/O_2,E1,BI,2,FALSE
L3,I/O_3,E2,BI,2,FALSE
L4,I/O_4,E3,BI,2,FALSE
L5,I/O_5,F1,BI,2,FALSE
L6,I/O_6,F2,BI,2,FALSE
L7,I/O_7,F4,BI,2,FALSE
L8,I/O_8,G2,BI,2,FALSE
L9,I/O_9,G3,BI,2,FALSE
L10,I/O_10,H1,BI,2,FALSE
L11,I/O_11,H2,BI,2,FALSE
L12,I/O_12,J1,BI,2,FALSE
L13,I/O_13,J3,BI,2,FALSE
L14,I/O_14,J4,BI,2,FALSE
L15,I/O_15,K1,BI,2,FALSE
L16,I/O_16,K2,BI,2,FALSE
L17,I/O_17,K3,BI,2,FALSE
L18,I/O_18,L1,BI,2,FALSE
L19,I/O_19,L2,BI,2,FALSE
L20,I/O_20,L4,BI,2,FALSE
L21,I/O_21,L5,BI,2,FALSE
L22,I/O_22,M2,BI,2,FALSE
L23,I/O_23,M3,BI,2,FALSE
L24,I/O_24,M4,BI,2,FALSE
L25,I/O_25,N2,BI,2,FALSE
L26,I/O_26,N3,BI,2,FALSE
L27,I/O_27,P1,BI,2,FALSE
L28,I/O_28,R1,BI,2,FALSE
L29,I/O_29,R2,BI,2,FALSE
L30,I/O_30,R3,BI,2,FALSE
L31,I/O_31,T1,BI,2,FALSE
L32,I/O_32,T2,BI,2,FALSE
L33,VREFB2AN0,N1,IN,2,FALSE
