Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,VCCPGM1,T6,POWER,2,FALSE
L2,VCCPGM2,M15,POWER,2,FALSE
L3,VCCPGM3,E7,POWER,2,FALSE
L4,VCCBAT,C5,POWER,2,FALSE
