Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,VCCPD1A2A_1,K4,POWER,2,FALSE
L2,VCCPD1A2A_2,J5,POWER,2,FALSE
L3,VCCPD3A,R7,POWER,2,FALSE
L4,VCCPD3B4A_1,R12,POWER,2,FALSE
L5,VCCPD3B4A_2,R8,POWER,2,FALSE
L6,VCCPD5A,K14,POWER,2,FALSE
L7,VCCPD75B,H15,POWER,2,FALSE
L8,VCCPD7A8A_1,D8,POWER,2,FALSE
L9,VCCPD7A8A_1,E13,POWER,2,FALSE
