Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,I/O1,L13,BI,2,FALSE
L2,I/O2,M13,BI,2,FALSE
L3,I/O3,M14,BI,2,FALSE
L4,I/O4,N12,BI,2,FALSE
L5,I/O5,N13,BI,2,FALSE
L6,I/O6,N16,BI,2,FALSE
L7,I/O7,N17,BI,2,FALSE
L8,I/O8,P13,BI,2,FALSE
L9,I/O9,P14,BI,2,FALSE
L10,I/O10,P15,BI,2,FALSE
L11,I/O11,P16,BI,2,FALSE
L12,I/O12,P18,BI,2,FALSE
L13,I/O13,R13,BI,2,FALSE
L14,I/O14,R16,BI,2,FALSE
L15,I/O15,R17,BI,2,FALSE
L16,I/O16,R18,BI,2,FALSE
L17,I/O17,T12,BI,2,FALSE
L18,I/O18,T14,BI,2,FALSE
L19,I/O19,T15,BI,2,FALSE
L20,I/O20,T16,BI,2,FALSE
L21,I/O21,T17,BI,2,FALSE
L22,I/O22,U12,BI,2,FALSE
L23,I/O23,U13,BI,2,FALSE
L24,I/O24,U14,BI,2,FALSE
L25,I/O25,U15,BI,2,FALSE
L26,I/O26,U17,BI,2,FALSE
L27,I/O27,U18,BI,2,FALSE
L28,I/O28,V12,BI,2,FALSE
L29,I/O29,V13,BI,2,FALSE
L30,I/O30,V15,BI,2,FALSE
L31,I/O31,V16,BI,2,FALSE
L32,I/O32,V17,BI,2,FALSE
L33,VREFB4AN0,V11,IN,2,FALSE
