[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesLayerClearRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesSchemeClearRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesViaAssign
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesLayerRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesSchemeNetClassRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesScheme
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesLayer
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesNetClass
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesClearRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesConstraintClass
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesViaSpan
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesGenClear
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesPartTech
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesConstVar
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesC2CClearRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesPkgTypeClearRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesP2PClearRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesParRuleSection
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesParRuleDef
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesNoiseRule
[2014.11.03 10:17:05] [0000m.01s.044ms] [2] Diagnostic: CesConfigCheck: CesGenObj
